species	time	lat	lng
aurea	1992	7.005778	-72.105685
aurea	1953	10.3838	-67.6119
aurea	1991	10.3761	-67.616
aurea	1991	10.348386	-67.684414
aurea	1991	10.348386	-67.684414
aurea	1990	7.9333333	-71.7333333
bihai	2000	12.07805556	-59.34416667
bihai	1979	16.17	-89.09
bihai	1997	-14.762	-63.9
bihai	2003	-15.71	-62.79
bihai	1974	2.2422	-52.8683
bihai	 YYYY	-12.533333	-39.083333
bihai	1982	-12.966667	-38.5
bihai	2008	-9.51	-55.07
bihai	1969	-9.47	-55.7
bihai	2008	-9.62	-55.22
bihai	2010	-7.14778	-55.3811
bihai	1987	6.23	-74.87
bihai	 YYYY	11.333333	-74.03333
bihai	1992	11.24361111	-73.81777778
bihai	1989	11.0833333	-73.8
bihai	1992	10.6094444	-74.1655556
bihai	1992	11.291644	-74.153539
bihai	2009	18.01	-71.206111
bihai	2009	18.01	-71.206111
bihai	1980	18.97	-68.97
bihai	1981	18.9	-69.38
bihai	2009	19.47222222	-70.35277778
bihai	1981	18.7	-68.82
bihai	2009	19.0325	-70.490278
bihai	1984	18.47	-70.28
bihai	1986	18.47	-70.22
bihai	1984	18.53	-70.3
bihai	2009	18.52972222	-70.28944444
bihai	2009	18.492778	-70.2275
bihai	2001	15.34388889	-61.31027778
bihai	2005	15.324722	-61.325278
bihai	2001	15.5147222	-61.4180556
bihai	2001	15.51472222	-61.41805556
bihai	2001	15.45833333	-61.41138889
bihai	2001	15.38	-61.34166667
bihai	2001	15.38	-61.341667
bihai	2002	15.50611111	-61.42666667
bihai	1997	13.67	-89.25
bihai	1985	4.8683	-52.257
bihai	1981	4.3333	-52.5833
bihai	2002	4.5833	-52.45
bihai	1992	5.45	-53.1333
bihai	1989	4.6575	-52.3012
bihai	1979	4.5833	-52.3333
bihai	1980	3.7333	-53.0333
bihai	1991	4.1167	-52.0833
bihai	2000	4.0333	-52.0167
bihai	1991	4.05	-52.0167
bihai	1980	3.255	-53.0742
bihai	1984	2.4	-53.1
bihai	1984	4.5833	-53.35
bihai	1995	4.8517	-53.0682
bihai	1981	4.5833	-52.4167
bihai	1993	4.3167	-53.0333
bihai	1996	4.05	-52.7
bihai	1988	4.805336	-52.363628
bihai	1991	3.4167	-54.0167
bihai	1986	3.5833333	-53.3333333
bihai	1972	3.6167	-53.2167
bihai	1985	3.5167	-53.7167
bihai	1989	3.55	-53.9167
bihai	2006	12.08	-61.70527778
bihai	2006	12.13	-61.66694444
bihai	2006	12.06555556	-61.68027778
bihai	2006	12.065556	-61.680278
bihai	2009	16.04583333	-61.64083333
bihai	2009	16.045833	-61.640833
bihai	2009	16.190833	-61.738056
bihai	2004	14.52	-91.14
bihai	1986	7.6167	-59.9
bihai	1989	5.4333334	-58.766666
bihai	1985	3.1333333	-59.3833333
bihai	1995	3.3	-59.65
bihai	1997	2.2	-59.58
bihai	1986	3.377389	-59.796086
bihai	1982	18.43	-73.9
bihai	1985	19.8	-72.5
bihai	2009	14.73166667	-61.11527778
bihai	2009	14.68611111	-61.10277778
bihai	 YYYY	17.5	-91.99
bihai	 YYYY	17.067	-94.633
bihai	 YYYY	17.083	-94.105
bihai	 YYYY	17.685	-96.301
bihai	1985	16.97	-94.66
bihai	 YYYY	17.8	-96.117
bihai	 YYYY	20	-97.5
bihai	1968	17.716667	-93.75
bihai	1968	19.766945	-96.745
bihai	1969	18.4	-94.95
bihai	 YYYY	19.5125	-96.94334
bihai	 YYYY	19.476944	-96.56084
bihai	1989	17.283333	-94.53333
bihai	 YYYY	17.283333	-94.55
bihai	 YYYY	18.883333	-96.916664
bihai	 YYYY	19.933332	-97.21667
bihai	 YYYY	19.833	-96.817
bihai	 YYYY	18.4	-95.15
bihai	 YYYY	18.419445	-95.11361
bihai	 YYYY	18.619444	-95.0725
bihai	1985	18.941668	-96.806114
bihai	 YYYY	19.917	-97.217
bihai	1907	16.708921	-62.174979
bihai	2004	17.349722	-62.776389
bihai	2005	17.357778	-62.79
bihai	2000	13.96777778	-60.95055556
bihai	2000	13.92611111	-60.96027778
bihai	2000	13.83694444	-60.97583333
bihai	2003	13.840556	-60.998333
bihai	2003	13.840556	-60.998333
bihai	2000	13.923611	-60.960278
bihai	2000	13.848611	-60.976111
bihai	2000	13.836944	-60.975833
bihai	2003	13.315	-61.14861111
bihai	2003	13.18611111	-61.21888889
bihai	2000	13.21805556	-61.22305556
bihai	2000	13.35666667	-61.22611111
bihai	2000	13.208611	-61.183889
bihai	1990	3.3167	-54.0667
bihai	1993	2.5167	-54.4167
bihai	2006	11.28055556	-60.58777778
bihai	2006	11.28611111	-60.68027778
bihai	2006	11.31472222	-60.57388889
bihai	2006	10.70611111	-61.28222222
bihai	2006	10.66694444	-61.28944444
bihai	1986	10.683483	-61.289072
bihai	1986	10.683483	-61.289072
bihai	1989	10.499961	-61.162812
bihai	1980	10.39	-67.26
bihai	1973	10.35	-67.57
bihai	1991	10.348386	-67.684414
bihai	1991	10.348386	-67.684414
bihai	1991	10.348386	-67.684414
bihai	1991	10.400919	-67.759828
bihai	1991	10.362119	-67.683361
bihai	1986	5.9	-62.25
bihai	1986	5.92	-62.25
bihai	1982	10.4	-68.07
bihai	1991	10.18333333	-68.23333333
bihai	1979	8.53	-62.05
bihai	1977	11.24	-69.46
bihai	1979	10.83	-69.12
bihai	1979	10.47	-70.62
bihai	1977	10.08	-66.02
bihai	1978	10.15	-65.8
bihai	1991	10.098669	-66.429758
bihai	1982	9.07	-69.88
bihai	1982	9.03	-70.02
bihai	1980	10.53	-63.12
bihai	1980	10.66	-62.72
bihai	1973	10.63	-66.58
bihai	1980	10.37	-68.75
bihai	1982	10.18	-68.5
bihai	1991	10.102222	-68.501111
bihai	1980	9.83	-72.82